Traditional	Vietnamese	English
吉	cát	may mắn, hên, tốt
凶	hung	rủi ro, xui, xấu
有	hữu	có (tồn tại / sở hữu)
鴉	nha	con quạ
集	tập	tụ tập; gom lại
庭	đình	cái sân; nhà lớn
樹	thụ	cây
引	dẫn	kéo đi; dẫn dắt; rướn
頸	cảnh	cổ
而	nhi	nhưng, mà, và; (hư từ)
鳴	minh	kêu la; hót; hí; tiếng kêu
兒	nhi	đứa trẻ
叱	sất	quát lên
之	chi	nó; hư từ
父	phụ	cha 
曰	viết	nói; hỏi; đáp
是	thị	là; nó; đúng
何	hà	cái gì? tại sao? thế nào?
害	hại	hại; làm hại
常	thường	thông thường; luôn
聞	văn	nghe
聞	vấn	to make known; to state
人	nhân	người
言	ngôn	nói; lời nói; ngôn ngữ
鵲	thước	chim khách (điềm hên)
今	kim	[ngày] nay
者	giả	kẻ làm...
也	dã	vậy (hư từ ở cuối câu)
故	cố	cho nên; nguyên do
智	trí	trí tuệ; khôn ngoan
識	thức	hiểu biết
智識	trí thức	hiểu biết, trí khôn
遠	viễn	xa xôi
勝	thắng	vượt hơn; chiến thắng
勝	thăng	to be adequate to; to be worthy of
於	ư	(hư từ)
鳥	điểu	chim
尚	thượng	vẫn còn; xem trọng
不	bất	không
能	năng	có thể
預	dự	dự liệu; sẵn
知	tri	biết
預知	dự tri	dự đoán, biết trước
況	huống	(hư từ); tình huống
而況	nhi huống	huống chi, huống hồ
乎	hồ	(hư từ)
背	bội	behind; contrary
理	lý	right
行	hành	to act; to do
思	tư	to think
得	đắc	 to get; to receive
嚴	nghiêm	severe
治	trị	to govern
如	như	like; as
不如	bất như	not equal, worse
好	hiếu	to love; to like
德	đức	virtue
必	tất	certainly; must
其	kỳ	it
仁	nhân	benevolent
我	ngã	me
信	tín	to believe
學	học	learn
祿	lộc	salary
在	tại	in
中	trung	middle; within
矣	hỹ	a final particle
耕	canh	to plough
餒	nỗi	hunger
莫	mạc	not; there is not
大	đại	big; great
天	thiên	heaven; God
水	thủy	water
高	cao	high
岸	ngạn	shore bank
貴	quý	dear; honorable
銀	ngân	silver
