Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English	
影	yǐng	jing²	영	ảnh	a shadow	
新	xīn	san¹	신	tân	new; recent	
月	yuè	jyut⁶	월	nguyệt	the moon; a lunar month	
初	chū	co¹	초	sơ	to begin; at first; just	
廊	láng	long⁴	낭?, 랑?	lang	a veranda; a corridor	
下	xià	haa⁶	하	hạ	down; beneath; inferior; to come down; to take off	
似	shì	ci⁵	사	tự	like; similar; to seem	
一	yī	jat¹	일	nhất	one; the first; all; throughout	
隨	suí	ceoi⁴	수	tuỳ	to follow; to accompany; together	
後	hòu	hau⁶	후	hậu	behind; after; posterity	
敢	gǎn	gam²	감	cám	to dare; to venture	
回	huí	wui⁴	회	hồi	to come back; to return	
顧	gù	gu³	고	cố	to look at; to regard; to care for	
急	jí	gap¹	급	cấp	haste; impatient; anxious; urgent	
入	rù	jap⁶	입	nhập	to go in; to put in	
告	gào	gou³	고	cáo	to tell; to announce; to lay a plaint	
姊	zǐ	zi²	자	tỉ	an elder sister	
此	cǐ	ci²	차	thử	this	
汝	rǔ	jyu⁵	여	nhữ	you; yours	
身	shēn	san¹	신	thân	the body; the person	
立	lì	lap⁶	립?, 입?	lập	to stand up; to fix; to establish immediately.	
燈	dēng	dang¹	등	đăng	a lamp; lantern	
前	qián	cin⁴	전	tiền	before	
日	rì	jat⁶	일	nhật	the sun; a day	
皆	jiē	gaai¹	개	giai	all; every; equalizing particle	
忘	wàng	mong⁴	망	vong	to forget	
耶	yé	je⁴	야	da	an interrogative particle	
乃	nǎi	naai⁵	내	nải	thereupon; a sequential particle ???; However; but	
悟	wù	ng⁶	오	ngộ	to awake; understand	
可	kě	ho²	가	khả	can; may	
老	lǎo	lou⁵	노?, 로?	lão	old	
少	shǎo	siu²	소	thiểu	few; little; young	
四	sì	sei³	사	tứ	four	
海	hǎi	hoi²	해	hải	the sea	
兄	xiōng	hing¹	형	huynh	an elder brother	
兄弟	xiōngdì	hing¹ dai⁶	형제	huynh đệ	brothers	
弟	dì	dai⁶	제	đệ	a younger brother	
百	bǎi	baak³	백	bách	hundred	
事	shì	si⁶	사	sự	affair; matter	
遂	suì	seoi⁶	수	toại	comply; follow	
