Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
押	yā	aat³	압	áp	
珠	zhū	zyu¹	주	châu	
域	yù	wik⁶	역	vực	
賈	jiǎ	gaa²	가?, 고?		
奉	fèng	fung⁶	봉	phụng	
售	shòu	sau⁶	수		
索	suǒ	sok³	삭?, 색?	sách	
價	jià	gaa³	가	giá	
六	liù	luk⁶	륙?, 육?	lục	
酬	chóu	cau⁴	수	thù	
傳	chuán	cyun⁴	전	truyền	
奇	qí	kei⁴	기	kỳ	
寶	bǎo	bou²	보	bảo	
作	zuò	zok³	작	tác	
含	hán	ham⁴	함	hàm	
誠	chéng	sing⁴	성	thành	
只	zhǐ	zi²	지	chỉ	
濟	jì	zai³	제		
微	wēi	mei⁴	미	vi	
米	mǐ	mai⁵	미		
粟	sù	suk¹	속		
飢	jī	gei¹	기	cơ	
三	sān	saam¹	삼	tam	
疾	jí	zat⁶	질	tật	
七	qī	cat¹	칠	thất	
姓	xìng	sing³	성	tính	
亂	luàn	lyun⁶	난?, 란?	loạn	
功	gōng	gung¹	공	công	
較	jiào	gaau³	교		
彼	bǐ	bei²	피	bỉ	
