Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
比	bǐ	bei²	비	tỉ	
寧	níng	ning⁴	녕?, 령?, 영?		
番	fān	faan¹	번	dẻo?, phen?	
造	zào	zou⁶	조	tạo	
船	chuán	syun⁴	선	thuyền	
固	gù	gu³	고	cố	
材	cái	coi⁴	재		
木	mù	muk⁶	목	mộc	
漢	hàn	hon³	한	hán	
患	huàn	waan⁶	환	hoạn	
江	jiāng	gong¹	강	giang	
進	jìn	zeon³	진	tiến	
口	kǒu	hau²	구	khẩu	
邊	biān	bin¹	변	biên	
房	fáng	fong⁴	방	phòng	
貢	gòng	gung³	공	cống	
尼	ní	nei⁴	니	ni	
州	zhōu	zau¹	주	châu	
縣	xiàn	jyun⁶	현	huyện	
吏	lì	lei⁶	리?, 이?	lại	
差	chà?, chā?	caa¹	차	sai	
役	yì	jik⁶	역	dịch	
爾	ěr	ji⁵	이	nhãi	
負	fù	fu⁶	부	phụ	
正	zhèng	zing³	정	chính	
邪	xié	ce⁴	사	tà	
减	jiǎn	gaam²			
壽	shòu	sau⁶	수	thọ	
受	shòu	sau⁶	수	thụ	
貧	pín	pan⁴	빈	bần	
太	tài	taai³	태	thái	
犬	quǎn	hyun²	견		
離	lí	lei⁴	리?, 이?	li	
窮	qióng	kung⁴	궁	cùng	
破	pò	po³	파	phá	
衣	yī	ji¹	의	y	
富	fù	fu³	부	phú	
妾	qiè	cip³	첩	thiếp	
遲	chí	ci⁴	지	trì	
到	dào	dou³	도	đáo	
悔	huǐ	fui³	회	hối	
終	zhōng	zung¹	종	chung	
愼	shèn	san⁶	신?, 진?		
始	shǐ	ci²	시	thuỷ	
伊	yī	ji¹	이	y	
服	fú	fuk⁶	복	phục	
毒	dú	duk⁶	독	độc	
缺	quē	kyut³	결	khuyết	
