# 魏 weit (512)-name of (403-241 feudal State В. С.) 129/520 200% + Vocabulary. 蓋 乳ju milk; to suckle. 乳母:ju-mu-a wet nurse. ch'in² name of a feudal State (897-221 P. C.) ho² an interrogative par- ticle,--why not? would it not be better to....? ying) (202)-proper; sui- table. Ouglht; must. Read ying to answer; to correspond; to fulfil. 0 must. Business; duty; function. 務 wut to be necessary; 田 weit to fear; to be dread- ed. 公子 kung-tzu-a son of a prince; a heir-apparent. 員匿 罪 tsui-a crime; Punishment. a 族 shang to bestow; to re- ward.. nit to hide; to abscond. 誅 chu² (499)-to punish; to put to death. sin. 廢義 fei-i-to neglect duty. the tsu-a tribe; a clan; a family. 詐 cha (150) to deceive; artful; false. 120 行詐 hsing-chat-to commit a treachery.. i (98)-the wings of a bird; to shelter; to as- sist. 翼 逃 t'aos (383) to flee; escape. to i-pi-to cover; to pro- tect. 池澤 时 tse-a marsh; a pool. 射shet-to shoot. chu-here: "to hit"; "to strike" shiha dart; an arrow. To take an oath.
Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
魏	疑合三微去	wèi	ngai⁶	위		name of a feudal State. a proper name
乳	日三虞上	rǔ	jyu⁵	유	vú	milk; to suckle
乳母						wet nurse
秦	從開三眞平	qín	ceon⁴	진		name of a feudal State
公子						son of a prince; heir-apparent
賞	書開三陽上	shǎng	soeng²	상	thưởng	to bestow; to reward
千	清開四先平	qiān	cin¹	천	thiên	
匿	孃開三蒸入	nì	nik¹	닉?, 익?	nặc	to hide; to abscond
罪	從合一灰上	zuì	zeoi⁶	죄	tội	crime; punishment
族	從一東入	zú	zuk⁶	족	tộc	tribe; clan; family
應	影開三蒸平?, 影開三蒸去?	yīng	jing³	응	ứng	to answer; to correspond; to fulfil
務	明三虞去	wù	mou⁶	무	vụ	business; duty; function
畏	影合三微去	wèi	wai³	외	uý	to fear; to be dreaded
誅	知三虞平	zhū	zyu¹	주	tru	to punish; to put to death
廢義						to neglect the duty.
詐	莊開二麻去	zhà	zaa³	사	trá	to deceive; artful; false.
行詐						to commit a treachery.
逃	定開一豪平	táo	tou⁴	도	đào	to flee; to escape.
射	以開三麻去?, 船開三麻去?, 以開三清入?, 船開三清入?	shè	se⁶	사	xạ	to shoot.
翼	以開三蒸入	yì	jik⁶	익	dực	the wings of a bird; to shelter; to assist.
翼蔽						to cover; to protect.
二	日開三脂去	èr	ji⁶	이	nhì	two; the second
矢	書開三脂上	shǐ	ci²	시	ngao?, thỉ?	a dart; an arrow. to take an oath.
						
