# 就 chin to go to. climb merk here: like; as if. 緣 ywant to follow. Cause connection. ; 道德 tao-te-virtue. han-drought. Dry land. 倣 yen² (630)-stern; respect- ful. 旱妻申 ch'i-wife. shen to report To ex- tend; to increase. 儼如 yen-ju-like; bling. resem- 串串如也 shen-shen²-ju-ych sessed. -easy; self-pos- 功業 kung-yeh-merit. 倣 yen-jan-like. 天yao-fresh-looking; young.hao²-a porcupine. Heroic. Pleased. 肺 肺 fei-the lungs. 肝 kan¹ (32) the liver. 勝階 sheng to conquer. chich¹ (318)-a flight of steps. To go up by a stair. A degree. 傑chich-a hero. 豪傑 hao-chich-a hero. 儼若yen-jo-like. 佰 su to lodge for night. Stale; old.
Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
就	從三尤去	jiù	zau⁶	취		to go to. regarding; concerning
緣	以合三仙平?, 以合三仙去?	yuán	jyun⁴	연	duyên	to follow; cause; connection
旱	匣開一寒上	hàn	hon⁵	한	hạn	drought; dry land
燕	影開四先去	yàn	jin³	연	én	the swallow; to feast
燕	影開四先平	yān	jin¹	연	én?	name of a feudal state.
申	書開三眞平	shēn	san¹	신		to report. to extend; to increase
申甲如也						easy; self-possessed
夭	影開三B宵平?, 影開三B宵上?, 影開一豪上?	yāo	jiu¹	요	yểu	fresh-looking; young; pleased
肺	滂三廢去	fèi	fai³	폐		the lungs
肝	見開一寒平	gān	gon¹	간	gan	the liver
聖	書開三清去	shèng	sing³	성	thánh	
階	見開二皆平	jiē	gaai¹	계	giai	a flight of steps; to go up by a stair; a degree
道德						virtue
儼	疑開三嚴上	yǎn	jim⁵	엄	nghiễm	stern; respectful
儼如						like; resembling
業	疑開三嚴入	yè	jip⁶	업	nghiệp	
功業						merit
儼然						like
豪	匣開一豪平	háo	hou⁴	호	hào	a hero
傑	羣開三B仙入	jié	git⁶	걸	kiệt	a hero
豪傑						like
宿	心三尤去?, 心三東入?	sù	suk¹	수?, 숙?	túc	to lodge for night; stale; old
路	來一模去	lù	lou⁶	노?, 로?	lộ	
